Company,Quarter,Loyalty Members (M),Mobile App Rating,Digital Check-in %,Direct Booking %,Key Initiative
Marriott,Q1 2025,203,4.8,62,34,Launched AI-powered room upgrade recommendations
Marriott,Q2 2025,248,4.8,64,35,Expanded AI dynamic pricing across all brands
Marriott,Q3 2025,260,4.8,65,36,Mobile key available at 5000+ properties
Marriott,Q4 2025,271,4.9,67,37,Generative AI concierge pilot in 100 properties
Hilton,Q1 2025,210,4.7,70,38,Digital Key Share feature rolled out globally
Hilton,Q2 2025,215,4.7,72,39,AI-powered Hilton Honors app redesign
Hilton,Q3 2025,220,4.8,73,40,Connected Room technology in 3000+ rooms
Hilton,Q4 2025,225,4.8,75,41,Digital key adoption exceeded 75% at managed hotels
Hyatt,Q1 2025,55,4.6,48,28,World of Hyatt app redesign with personalization
Hyatt,Q2 2025,58,4.6,50,29,AI guest recognition across luxury portfolio
Hyatt,Q3 2025,61,4.7,52,30,Integrated Mr & Mrs Smith bookings into app
Hyatt,Q4 2025,63,4.7,54,31,Predictive stay preferences using guest data
IHG,Q1 2025,125,4.5,55,32,IHG One Rewards app refresh with new features
IHG,Q2 2025,128,4.5,57,33,AI-powered guest service chatbot deployed
IHG,Q3 2025,130,4.6,58,33,Milestone rewards and enhanced tier benefits
IHG,Q4 2025,133,4.6,60,34,Guest recognition platform upgraded across brands
Accor,Q1 2025,112,4.3,40,25,ALL app redesign with improved booking flow
Accor,Q2 2025,115,4.4,42,26,Mobile booking share exceeded 50% for first time
Accor,Q3 2025,118,4.4,44,27,Expanded digital concierge to Raffles and Fairmont
Accor,Q4 2025,120,4.5,46,28,Personalized AI recommendations in ALL platform
