Company,Brand,News,Date,SourceName,SourceURL
Marriott,Ritz-Carlton,"The Ritz-Carlton, Melbourne opened on March 23, 2023 as the brand's first Australian property — a 257-room tower rising 80 storeys on Lonsdale Street in Melbourne's CBD.",Mar 2023,PR Newswire,https://www.prnewswire.com/news-releases/the-ritz-carlton-debuts-in-melbourne-capturing-the-spirit-and-rhythm-of-one-of-australias-most-dynamic-destinations-301779509.html
Marriott,N/A,"Marriott signed a record 114 luxury deals in 2025 and reported luxury brand RevPAR growth of more than 6% for the full year — well ahead of the overall portfolio average. Key openings included the St. Regis Aruba, Lake Como EDITION, and Nekajui, a Ritz-Carlton Reserve in Costa Rica.",Feb 2026,Marriott Q4 & FY 2025 Earnings Release,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-reports-fourth-quarter-and-full-year-2025
Hilton,Waldorf Astoria,"Waldorf Astoria New York welcomed its first hotel guests on July 15, 2025 after an eight-year, $2B+ restoration — reopening with 375 rooms and 372 private residences. The restored Grand Ballroom reopened September 5, 2025.",Jul 2025,Hilton Stories,https://stories.hilton.com/releases/waldorf-astoria-new-york-begins-opening-season
Hilton,N/A,"""Within luxury, we continued to build strong momentum after the Waldorf Astoria New York opening, and in the Fourth Quarter, we opened our second Waldorf Astoria in Shanghai and celebrated the brand's debut in Helsinki.""",Feb 2026,Hilton Q4 & FY 2025 Earnings Release,https://stories.hilton.com/releases/hilton-reports-2025-fourth-quarter-and-full-year-results
Hyatt,Park Hyatt,"Park Hyatt London River Thames opened on October 8, 2024 in Nine Elms, South West London — the first Park Hyatt in the United Kingdom, with 203 rooms.",Oct 2024,Hyatt Newsroom,https://newsroom.hyatt.com/news-releases?item=124536
Hyatt,N/A,"""Leisure transient RevPAR increased about 6% year over year, including 9% growth across luxury brands.""",Feb 2026,Hyatt Q4 & FY 2025 Earnings Release,https://newsroom.hyatt.com/Q4-FullYear-2025-Earnings
IHG,Six Senses,"Six Senses Southern Dunes, The Red Sea opened in November 2023 in Umluj, Saudi Arabia — 76 eco-luxury tented villas and the first property to open at The Red Sea destination.",Nov 2023,Six Senses Press Release,https://www.sixsenses.com/en/corporate/media-center/press-releases/2023/six-senses-southern-dunes-the-red-sea-opening/
IHG,N/A,"""Altogether we delivered another excellent set of results, demonstrating the strength and resilience of our business model and the power of our growth algorithm, despite some turbulent trading conditions. RevPAR growth, system growth, and margin expansion collectively drove a 13 percent increase in EBIT.""",Feb 2026,IHG FY 2025 Full Year Results,https://www.ihgplc.com/en/investors/results-reports-and-presentations/2026/full-year-results-for-the-year-to-31-dec-2025
Accor,Raffles,"Raffles London at The OWO opened on September 29, 2023 — 120 rooms and suites in the restored Old War Office on Whitehall, London; the first Raffles hotel in the United Kingdom.",Sep 2023,Accor Press Release,https://press.accor.com/the-rebirth-of-a-london-landmarkthe-owo-and-raffles-london-to-open-on-29th-september-2023
Accor,Orient Express,"Orient Express La Dolce Vita made its grand premiere on April 4, 2025 at Roma Ostiense Station. Italy's first luxury train features 12 carriages (max 62 passengers) with cuisine by Michelin 3-star chef Heinz Beck, designed by Dimorestudio.",Apr 2025,Accor Press Release,https://press.accor.com/the-grand-premiere-of-la-dolce-vita-orient-express/?lang=eng
Accor,Fairmont,"Fairmont Doha opened on November 22, 2022 in Katara Towers (Lusail) — ahead of the FIFA World Cup Qatar 2022. The 362-room tower shares the iconic Crossing Swords complex with Raffles Doha.",Nov 2022,PR Newswire,https://www.prnewswire.com/ae/news-releases/raffles--fairmont-make-debut-in-qatar-301684751.html
