Company,Brand,News,Date,SourceName,SourceURL
Marriott,Marriott Bonvoy,"""We see AI as an opportunity to potentially redefine the customer acquisition paradigm that has governed our industry for the past several decades.""",Feb 2026,Marriott Q4 & FY 2025 Earnings Call,https://www.phocuswire.com/marriott-q4-full-year-earnings-2025
Marriott,Marriott Bonvoy,"""And we're optimistic about the potential for AI to bring more consumers into the Marriott Bonvoy ecosystem and help strengthen our direct booking channels in a very efficient manner.""",Feb 2026,Marriott Q4 & FY 2025 Earnings Call,https://www.phocuswire.com/marriott-q4-full-year-earnings-2025
Hilton,Hilton Honors,"""And one of the things that I believe gives us a meaningful competitive advantage is that we have a modern tech stack... it just affords us much greater flexibility and agility to adopt AI in a bunch of really interesting ways.""",Feb 2026,Hilton Q4 & FY 2025 Earnings Call,https://www.insidermonkey.com/blog/hilton-worldwide-holdings-inc-nysehlt-q4-2025-earnings-call-transcript-1694414/
Hilton,Hilton Honors,"""We have 41 use cases that are being utilized inside the company at this moment, as we test and learn.""",Oct 2025,Hilton Q3 2025 Earnings Call,https://www.thecaterer.com/news/hilton-ceo-we-have-41-use-cases-of-ai-across-the-business
Hyatt,World of Hyatt,"""We now have longitudinal data over a couple of quarters which clearly demonstrate that the booking conversion rate and the total revenue being generated through the native intent-based search capabilities that we built into hyatt.com are having a positive impact.""",Feb 2026,Hyatt Q4 & FY 2025 Earnings Call,https://newsroom.hyatt.com/Q4-FullYear-2025-Earnings
Hyatt,World of Hyatt,"""We recognized early that guests actually wanted to search with prose, as opposed to a city, state and availability date framework.""",Feb 2026,Hyatt Q4 & FY 2025 Earnings Call,https://skift.com/2026/02/12/hyatt-ceo-sees-lift-from-ai-search-reveals-chatgpt-app/
IHG,IHG One Rewards,"""Everything in between, the distribution, how you get there, how you book, how you view it, how you share it, how you search it, that is changing.""",Feb 2026,IHG FY 2025 Full Year Results Earnings Call,https://www.ihgplc.com/en/investors/results-reports-and-presentations/2026/full-year-results-for-the-year-to-31-dec-2025
IHG,IHG One Rewards,"""IHG One Rewards is now 160 million members. They're more engaged, they're spending more. They're taking out more credit cards. And that is all fueling our growth in card fees.""",Feb 2026,IHG FY 2025 Full Year Results Earnings Call,https://www.ihgplc.com/en/investors/results-reports-and-presentations/2026/full-year-results-for-the-year-to-31-dec-2025
Accor,ALL,"""These strengths, combined with an increasingly powerful distribution platform and loyalty program, the rapid integration of artificial intelligence into our digital roadmap and the robustness of our pipeline enable us to further accelerate our development and to operate with even greater efficiency.""",Feb 2026,Accor FY 2025 Full Year Results Press Release,https://group.accor.com/en/finance/financial-results
Marriott,Marriott Bonvoy,"""We're very excited about beginning a phased rollout of a robust natural language search experience on marriott.com and our app, planned by the end of Q2. This experience will leverage real-time inventory to respond to guest inquiries and help guests explore our portfolio more easily.""",May 2026,Marriott Q1 2026 Earnings Call,https://www.marriott.com/investor
Marriott,Marriott Bonvoy,"""Marriott's industry-leading scale creates a really advantageous position due to our physical and geographic footprint, our scale and data — a natural digital content and search advantage. We've got more stays, more reviews, better insights into preferences, and the ability to refresh availability in real time.""",May 2026,Marriott Q1 2026 Earnings Call,https://www.marriott.com/investor
Hilton,Hilton Honors,"""Earlier this quarter, we deployed an Anthropic-powered platform for customers to dream and shop, called the Hilton AI Planner. This LLM-powered tool combines our incredibly rich property content with vast information about local venues and activities to allow customers to search for and tailor an experience that is unique to their interests.""",May 2026,Hilton Q1 2026 Earnings Call,https://stories.hilton.com/releases/hilton-reports-2026-first-quarter-results
Hilton,Hilton Honors,"""We're working with everybody — Gemini, OpenAI, Anthropic. We realize the asset we have in the system, and given our scale, is really valuable. You can't be missing 25–30% of the quality inventory in the U.S. and have something that's a real full offering. 80%+ of our business is already direct.""",May 2026,Hilton Q1 2026 Earnings Call,https://stories.hilton.com/releases/hilton-reports-2026-first-quarter-results
Hyatt,World of Hyatt,"""World of Hyatt members accounted for nearly half of total occupied rooms globally during the quarter. When our members stay with us, they spend nearly twice as much compared to a non-member, highlighting the engagement from our premium customer base.""",May 2026,Hyatt Q1 2026 Earnings Call,https://newsroom.hyatt.com
Hyatt,World of Hyatt,"""I don't believe that any particular platform or tool is a durable competitive advantage. However, if you combine advanced facility with building platforms that have generated real impact, with the human elements required to generate value — that's really where competitive advantage can be uncovered.""",May 2026,Hyatt Q1 2026 Earnings Call,https://newsroom.hyatt.com
IHG,IHG One Rewards,"""We have made excellent progress developing an AI-powered conversational search tool that will launch on our website and mobile app in the coming months. Guests will be able to use natural language to describe where they want to go and the hotel features and local attractions that are important to them.""",May 2026,IHG Q1 2026 Trading Update Call,https://www.ihgplc.com/en/news-and-media/news-releases/2026/first-quarter-trading-update-to-31-march-2026
IHG,IHG One Rewards,"""We are launching an industry-leading platform with Salesforce to get much closer to our 160 million IHG One Rewards members — a single view of our customer across the entire organisation, so we can deliver more personalised experiences and extend loyalty rewards faster and more effectively.""",May 2026,IHG Q1 2026 Trading Update Call,https://www.ihgplc.com/en/news-and-media/news-releases/2026/first-quarter-trading-update-to-31-march-2026
